DATE;Season;VISITOR;V.PTS;HOME;H.PTS;OT;
10/31/2000;2001;Charlotte Hornets;106;Atlanta Hawks;82;;
10/31/2000;2001;Sacramento Kings;100;Chicago Bulls;81;;
10/31/2000;2001;Milwaukee Bucks;93;Dallas Mavericks;97;;
10/31/2000;2001;Phoenix Suns;94;Golden State Warriors;96;;
10/31/2000;2001;Minnesota Timberwolves;106;Houston Rockets;98;;
10/31/2000;2001;Cleveland Cavaliers;86;New Jersey Nets;82;;
10/31/2000;2001;Philadelphia 76ers;101;New York Knicks;72;;
10/31/2000;2001;Washington Wizards;86;Orlando Magic;97;;
10/31/2000;2001;Los Angeles Lakers;96;Portland Trail Blazers;86;;
10/31/2000;2001;Indiana Pacers;85;San Antonio Spurs;98;;
10/31/2000;2001;Detroit Pistons;104;Toronto Raptors;95;;
10/31/2000;2001;Los Angeles Clippers;94;Utah Jazz;107;;
10/31/2000;2001;Seattle SuperSonics;88;Vancouver Grizzlies;94;;
11/1/2000;2001;Detroit Pistons;83;Boston Celtics;103;;
11/1/2000;2001;Washington Wizards;95;Charlotte Hornets;77;;
11/1/2000;2001;Sacramento Kings;100;Cleveland Cavaliers;102;2OT;
11/1/2000;2001;Utah Jazz;97;Los Angeles Lakers;92;;
11/1/2000;2001;Orlando Magic;79;Miami Heat;105;;
11/1/2000;2001;Toronto Raptors;98;Philadelphia 76ers;104;;
11/1/2000;2001;Denver Nuggets;99;Seattle SuperSonics;112;;
11/2/2000;2001;Indiana Pacers;88;Dallas Mavericks;94;;
11/2/2000;2001;Golden State Warriors;97;Denver Nuggets;101;;
11/2/2000;2001;Milwaukee Bucks;93;Houston Rockets;115;;
11/2/2000;2001;Vancouver Grizzlies;99;Los Angeles Clippers;91;;
11/2/2000;2001;Atlanta Hawks;69;New York Knicks;94;;
11/2/2000;2001;Portland Trail Blazers;82;Phoenix Suns;108;;
11/2/2000;2001;Minnesota Timberwolves;91;San Antonio Spurs;103;;
11/3/2000;2001;Toronto Raptors;91;Boston Celtics;93;;
11/3/2000;2001;Miami Heat;79;Charlotte Hornets;83;;
11/3/2000;2001;New Jersey Nets;92;Chicago Bulls;82;;
11/3/2000;2001;Sacramento Kings;100;Detroit Pistons;93;;
11/3/2000;2001;Philadelphia 76ers;87;Orlando Magic;80;;
11/3/2000;2001;New York Knicks;80;Washington Wizards;76;;
11/4/2000;2001;Orlando Magic;107;Atlanta Hawks;104;;
11/4/2000;2001;Boston Celtics;89;Cleveland Cavaliers;91;;
11/4/2000;2001;Utah Jazz;112;Dallas Mavericks;106;;
11/4/2000;2001;Phoenix Suns;102;Denver Nuggets;99;;
11/4/2000;2001;San Antonio Spurs;117;Golden State Warriors;105;;
11/4/2000;2001;Chicago Bulls;81;Indiana Pacers;94;;
11/4/2000;2001;Houston Rockets;74;Los Angeles Clippers;77;;
11/4/2000;2001;Philadelphia 76ers;84;Miami Heat;82;;
11/4/2000;2001;Detroit Pistons;88;Milwaukee Bucks;97;;
11/4/2000;2001;Sacramento Kings;91;Minnesota Timberwolves;99;;
11/4/2000;2001;Charlotte Hornets;98;New Jersey Nets;87;;
11/4/2000;2001;Portland Trail Blazers;97;Seattle SuperSonics;90;;
11/4/2000;2001;Washington Wizards;96;Toronto Raptors;103;;
11/4/2000;2001;Los Angeles Lakers;98;Vancouver Grizzlies;89;;
11/5/2000;2001;Los Angeles Clippers;103;Los Angeles Lakers;108;;
11/5/2000;2001;Houston Rockets;99;Phoenix Suns;104;;
11/6/2000;2001;Dallas Mavericks;108;Denver Nuggets;96;;
11/6/2000;2001;Seattle SuperSonics;99;Orlando Magic;110;;
11/6/2000;2001;Portland Trail Blazers;75;Sacramento Kings;79;;
11/6/2000;2001;Minnesota Timberwolves;92;Utah Jazz;98;;
11/6/2000;2001;Atlanta Hawks;87;Vancouver Grizzlies;97;;
11/7/2000;2001;Washington Wizards;88;Chicago Bulls;83;;
11/7/2000;2001;Los Angeles Lakers;74;Houston Rockets;84;;
11/7/2000;2001;New York Knicks;103;Milwaukee Bucks;89;;
11/7/2000;2001;San Antonio Spurs;81;Phoenix Suns;100;;
11/7/2000;2001;Atlanta Hawks;88;Portland Trail Blazers;97;;
11/7/2000;2001;Boston Celtics;75;Toronto Raptors;105;;
11/8/2000;2001;Vancouver Grizzlies;101;Dallas Mavericks;74;;
11/8/2000;2001;Minnesota Timberwolves;107;Denver Nuggets;109;OT;
11/8/2000;2001;Milwaukee Bucks;97;Indiana Pacers;108;;
11/8/2000;2001;Utah Jazz;93;Los Angeles Clippers;87;OT;
11/8/2000;2001;Seattle SuperSonics;81;Miami Heat;87;;
11/8/2000;2001;Cleveland Cavaliers;99;New York Knicks;97;;
11/8/2000;2001;Charlotte Hornets;96;Orlando Magic;90;;
11/8/2000;2001;Detroit Pistons;94;Philadelphia 76ers;103;;
11/8/2000;2001;Golden State Warriors;84;Sacramento Kings;115;;
11/8/2000;2001;Los Angeles Lakers;81;San Antonio Spurs;91;;
11/8/2000;2001;New Jersey Nets;102;Washington Wizards;86;;
11/9/2000;2001;Seattle SuperSonics;102;Charlotte Hornets;94;;
11/9/2000;2001;Orlando Magic;90;Chicago Bulls;95;;
11/9/2000;2001;Vancouver Grizzlies;78;Houston Rockets;85;;
11/9/2000;2001;Philadelphia 76ers;84;Minnesota Timberwolves;82;;
11/9/2000;2001;Detroit Pistons;108;New Jersey Nets;94;;
11/9/2000;2001;Atlanta Hawks;79;Phoenix Suns;88;;
11/9/2000;2001;Denver Nuggets;91;Portland Trail Blazers;107;;
11/10/2000;2001;New York Knicks;103;Boston Celtics;101;OT;
11/10/2000;2001;San Antonio Spurs;77;Dallas Mavericks;79;;
11/10/2000;2001;Sacramento Kings;114;Golden State Warriors;107;OT;
11/10/2000;2001;Atlanta Hawks;106;Los Angeles Clippers;115;;
11/10/2000;2001;Cleveland Cavaliers;88;Toronto Raptors;115;;
11/10/2000;2001;Miami Heat;87;Utah Jazz;80;;
11/10/2000;2001;Indiana Pacers;86;Washington Wizards;74;;
11/11/2000;2001;Toronto Raptors;98;Chicago Bulls;75;;
11/11/2000;2001;Washington Wizards;73;Cleveland Cavaliers;86;;
11/11/2000;2001;Detroit Pistons;84;Indiana Pacers;94;;
11/11/2000;2001;Minnesota Timberwolves;103;Milwaukee Bucks;92;;
11/11/2000;2001;Seattle SuperSonics;91;New Jersey Nets;126;;
11/11/2000;2001;Charlotte Hornets;67;New York Knicks;81;;
11/11/2000;2001;Boston Celtics;83;Philadelphia 76ers;85;;
11/11/2000;2001;Miami Heat;82;Phoenix Suns;84;;
11/11/2000;2001;Houston Rockets;88;Portland Trail Blazers;111;;
11/11/2000;2001;Vancouver Grizzlies;78;San Antonio Spurs;91;;
11/12/2000;2001;Los Angeles Clippers;79;Denver Nuggets;95;;
11/12/2000;2001;Seattle SuperSonics;92;Detroit Pistons;101;;
11/12/2000;2001;Orlando Magic;105;Golden State Warriors;99;OT;
11/12/2000;2001;Houston Rockets;99;Los Angeles Lakers;105;;
11/12/2000;2001;Dallas Mavericks;84;Sacramento Kings;109;;
11/13/2000;2001;Dallas Mavericks;90;Los Angeles Clippers;76;;
11/13/2000;2001;Portland Trail Blazers;94;New Jersey Nets;82;;
11/14/2000;2001;Portland Trail Blazers;97;Atlanta Hawks;99;;
11/14/2000;2001;Golden State Warriors;86;Cleveland Cavaliers;96;;
11/14/2000;2001;Chicago Bulls;83;Houston Rockets;110;;
11/14/2000;2001;Denver Nuggets;103;Los Angeles Lakers;119;;
11/14/2000;2001;Charlotte Hornets;86;Miami Heat;89;OT;
11/14/2000;2001;Orlando Magic;82;Sacramento Kings;96;;
11/14/2000;2001;Utah Jazz;79;San Antonio Spurs;86;;
11/14/2000;2001;New York Knicks;75;Seattle SuperSonics;96;;
11/15/2000;2001;Washington Wizards;109;Boston Celtics;116;;
11/15/2000;2001;Indiana Pacers;92;Detroit Pistons;88;;
11/15/2000;2001;New York Knicks;74;Los Angeles Clippers;78;;
11/15/2000;2001;Atlanta Hawks;74;Milwaukee Bucks;84;;
11/15/2000;2001;Golden State Warriors;90;Minnesota Timberwolves;92;;
11/15/2000;2001;Miami Heat;91;New Jersey Nets;93;;
11/15/2000;2001;Cleveland Cavaliers;98;Philadelphia 76ers;107;;
11/15/2000;2001;Dallas Mavericks;78;Phoenix Suns;99;;
11/16/2000;2001;Chicago Bulls;85;Denver Nuggets;89;;
11/16/2000;2001;Charlotte Hornets;80;Houston Rockets;84;;
11/16/2000;2001;Los Angeles Lakers;112;Sacramento Kings;110;OT;
11/16/2000;2001;Portland Trail Blazers;86;Toronto Raptors;80;;
11/16/2000;2001;Orlando Magic;84;Utah Jazz;99;;
11/16/2000;2001;Los Angeles Clippers;76;Vancouver Grizzlies;72;;
11/16/2000;2001;San Antonio Spurs;99;Washington Wizards;95;;
11/17/2000;2001;Atlanta Hawks;99;Boston Celtics;106;;
11/17/2000;2001;Detroit Pistons;96;Charlotte Hornets;89;;
11/17/2000;2001;Golden State Warriors;92;Indiana Pacers;90;;
11/17/2000;2001;Cleveland Cavaliers;76;Milwaukee Bucks;89;;
11/17/2000;2001;San Antonio Spurs;94;Minnesota Timberwolves;99;OT;
11/17/2000;2001;Miami Heat;73;Philadelphia 76ers;94;;
11/17/2000;2001;New York Knicks;90;Phoenix Suns;85;;
11/17/2000;2001;Dallas Mavericks;99;Seattle SuperSonics;95;;
11/18/2000;2001;Minnesota Timberwolves;94;Atlanta Hawks;84;;
11/18/2000;2001;Los Angeles Lakers;86;Denver Nuggets;87;;
11/18/2000;2001;Phoenix Suns;89;Houston Rockets;94;;
11/18/2000;2001;Seattle SuperSonics;86;Los Angeles Clippers;83;;
11/18/2000;2001;Portland Trail Blazers;80;Miami Heat;86;;
11/18/2000;2001;Indiana Pacers;92;New Jersey Nets;97;;
11/18/2000;2001;Milwaukee Bucks;102;Toronto Raptors;111;;
11/18/2000;2001;Chicago Bulls;64;Utah Jazz;109;;
11/18/2000;2001;Dallas Mavericks;91;Vancouver Grizzlies;88;;
11/18/2000;2001;Boston Celtics;89;Washington Wizards;109;;
11/19/2000;2001;Charlotte Hornets;105;Detroit Pistons;96;;
11/19/2000;2001;Chicago Bulls;96;Los Angeles Lakers;104;;
11/19/2000;2001;Golden State Warriors;71;New York Knicks;88;;
11/19/2000;2001;Portland Trail Blazers;110;Orlando Magic;102;OT;
11/20/2000;2001;Philadelphia 76ers;114;Boston Celtics;90;;
11/20/2000;2001;New Jersey Nets;86;Los Angeles Clippers;85;;
11/20/2000;2001;Charlotte Hornets;100;Toronto Raptors;64;;
11/20/2000;2001;Dallas Mavericks;107;Utah Jazz;98;;
11/20/2000;2001;Denver Nuggets;95;Vancouver Grizzlies;92;;
11/21/2000;2001;Detroit Pistons;98;Cleveland Cavaliers;117;;
11/21/2000;2001;Seattle SuperSonics;116;Dallas Mavericks;110;;
11/21/2000;2001;Chicago Bulls;77;Golden State Warriors;89;;
11/21/2000;2001;Houston Rockets;101;Indiana Pacers;89;;
11/21/2000;2001;New York Knicks;85;Orlando Magic;84;;
11/21/2000;2001;Portland Trail Blazers;104;Washington Wizards;94;;
11/22/2000;2001;New York Knicks;74;Atlanta Hawks;78;;
11/22/2000;2001;Houston Rockets;81;Boston Celtics;96;;
11/22/2000;2001;Philadelphia 76ers;73;Charlotte Hornets;88;;
11/22/2000;2001;Golden State Warriors;91;Los Angeles Lakers;111;;
11/22/2000;2001;Cleveland Cavaliers;86;Miami Heat;67;;
11/22/2000;2001;Portland Trail Blazers;93;Milwaukee Bucks;84;;
11/22/2000;2001;Vancouver Grizzlies;100;Minnesota Timberwolves;101;;
11/22/2000;2001;New Jersey Nets;85;Phoenix Suns;97;;
11/22/2000;2001;Chicago Bulls;71;Sacramento Kings;100;;
11/22/2000;2001;Seattle SuperSonics;85;San Antonio Spurs;112;;
11/22/2000;2001;Denver Nuggets;78;Utah Jazz;116;;
11/23/2000;2001;Toronto Raptors;111;Indiana Pacers;91;;
11/24/2000;2001;Philadelphia 76ers;76;Atlanta Hawks;67;;
11/24/2000;2001;Orlando Magic;98;Boston Celtics;103;OT;
11/24/2000;2001;Miami Heat;80;Cleveland Cavaliers;85;;
11/24/2000;2001;San Antonio Spurs;92;Denver Nuggets;102;;
11/24/2000;2001;Vancouver Grizzlies;96;Detroit Pistons;118;;
11/24/2000;2001;Washington Wizards;87;Indiana Pacers;99;;
11/24/2000;2001;Minnesota Timberwolves;108;Los Angeles Lakers;115;;
11/24/2000;2001;Charlotte Hornets;106;Milwaukee Bucks;90;;
11/24/2000;2001;Golden State Warriors;74;Phoenix Suns;80;;
11/24/2000;2001;Los Angeles Clippers;81;Seattle SuperSonics;98;;
11/24/2000;2001;New Jersey Nets;85;Utah Jazz;97;;
11/25/2000;2001;Cleveland Cavaliers;98;Charlotte Hornets;109;;
11/25/2000;2001;Denver Nuggets;84;Dallas Mavericks;108;;
11/25/2000;2001;Minnesota Timberwolves;93;Golden State Warriors;114;;
11/25/2000;2001;Phoenix Suns;95;Los Angeles Clippers;89;OT;
11/25/2000;2001;Houston Rockets;91;Miami Heat;80;;
11/25/2000;2001;Toronto Raptors;79;New York Knicks;75;;
11/25/2000;2001;Atlanta Hawks;92;Orlando Magic;114;;
11/25/2000;2001;New Jersey Nets;84;Portland Trail Blazers;86;;
11/25/2000;2001;Seattle SuperSonics;101;Sacramento Kings;125;;
11/25/2000;2001;Philadelphia 76ers;76;San Antonio Spurs;96;;
11/25/2000;2001;Milwaukee Bucks;100;Washington Wizards;107;;
11/26/2000;2001;Vancouver Grizzlies;98;Boston Celtics;87;;
11/26/2000;2001;Utah Jazz;94;Detroit Pistons;79;;
11/26/2000;2001;Chicago Bulls;89;Toronto Raptors;101;;
11/27/2000;2001;Los Angeles Lakers;98;Los Angeles Clippers;83;;
11/27/2000;2001;Vancouver Grizzlies;72;New York Knicks;97;;
11/27/2000;2001;Milwaukee Bucks;104;Orlando Magic;95;;
11/28/2000;2001;Minnesota Timberwolves;96;Chicago Bulls;76;;
11/28/2000;2001;Boston Celtics;87;Cleveland Cavaliers;72;;
11/28/2000;2001;Toronto Raptors;93;Dallas Mavericks;107;;
11/28/2000;2001;Sacramento Kings;88;Houston Rockets;81;;
11/28/2000;2001;Indiana Pacers;107;Los Angeles Lakers;124;;
11/28/2000;2001;Milwaukee Bucks;102;Miami Heat;101;;
11/28/2000;2001;Utah Jazz;98;New Jersey Nets;92;;
11/28/2000;2001;Seattle SuperSonics;105;Portland Trail Blazers;93;;
11/28/2000;2001;Atlanta Hawks;102;Washington Wizards;75;;
11/29/2000;2001;Toronto Raptors;79;Charlotte Hornets;103;;
11/29/2000;2001;New Jersey Nets;76;Detroit Pistons;97;;
11/29/2000;2001;Golden State Warriors;83;Los Angeles Clippers;106;;
11/29/2000;2001;Denver Nuggets;107;Minnesota Timberwolves;100;;
11/29/2000;2001;Miami Heat;84;New York Knicks;81;;
11/29/2000;2001;Utah Jazz;88;Orlando Magic;86;;
11/29/2000;2001;Washington Wizards;87;Philadelphia 76ers;93;;
11/29/2000;2001;Sacramento Kings;79;San Antonio Spurs;82;;
11/29/2000;2001;Phoenix Suns;106;Vancouver Grizzlies;109;2OT;
11/30/2000;2001;Chicago Bulls;91;Atlanta Hawks;82;;
11/30/2000;2001;Houston Rockets;109;Denver Nuggets;105;OT;
11/30/2000;2001;Indiana Pacers;95;Golden State Warriors;99;;
11/30/2000;2001;Boston Celtics;97;Milwaukee Bucks;108;;
11/30/2000;2001;Dallas Mavericks;84;Portland Trail Blazers;95;;
11/30/2000;2001;Los Angeles Lakers;88;Seattle SuperSonics;121;;
12/1/2000;2001;Minnesota Timberwolves;102;Boston Celtics;98;;
12/1/2000;2001;New York Knicks;91;Chicago Bulls;86;;
12/1/2000;2001;Cleveland Cavaliers;93;Detroit Pistons;103;;
12/1/2000;2001;San Antonio Spurs;100;Los Angeles Lakers;109;;
12/1/2000;2001;Utah Jazz;94;Miami Heat;92;;
12/1/2000;2001;New Jersey Nets;80;Orlando Magic;83;;
12/1/2000;2001;Charlotte Hornets;74;Philadelphia 76ers;95;;
12/1/2000;2001;Phoenix Suns;98;Sacramento Kings;105;;
12/1/2000;2001;Los Angeles Clippers;95;Toronto Raptors;104;OT;
12/1/2000;2001;Indiana Pacers;86;Vancouver Grizzlies;76;OT;
12/2/2000;2001;Milwaukee Bucks;94;Atlanta Hawks;101;;
12/2/2000;2001;Utah Jazz;89;Charlotte Hornets;94;;
12/2/2000;2001;Philadelphia 76ers;112;Cleveland Cavaliers;78;;
12/2/2000;2001;Seattle SuperSonics;92;Denver Nuggets;103;;
12/2/2000;2001;Dallas Mavericks;97;Golden State Warriors;78;;
12/2/2000;2001;Portland Trail Blazers;96;Houston Rockets;85;;
12/2/2000;2001;Orlando Magic;95;New Jersey Nets;74;;
12/2/2000;2001;Minnesota Timberwolves;90;New York Knicks;100;;
12/2/2000;2001;Miami Heat;93;Washington Wizards;90;;
12/3/2000;2001;Los Angeles Clippers;87;Boston Celtics;96;;
12/3/2000;2001;Washington Wizards;87;Detroit Pistons;93;;
12/3/2000;2001;Dallas Mavericks;97;Los Angeles Lakers;99;;
12/3/2000;2001;Indiana Pacers;80;Milwaukee Bucks;92;;
12/3/2000;2001;Portland Trail Blazers;79;Phoenix Suns;84;;
12/3/2000;2001;Golden State Warriors;102;Seattle SuperSonics;118;;
12/3/2000;2001;San Antonio Spurs;97;Vancouver Grizzlies;79;;
12/4/2000;2001;Philadelphia 76ers;98;Denver Nuggets;105;;
12/4/2000;2001;Los Angeles Clippers;78;New York Knicks;106;;
12/5/2000;2001;Miami Heat;100;Atlanta Hawks;92;;
12/5/2000;2001;Charlotte Hornets;66;Cleveland Cavaliers;71;;
12/5/2000;2001;Dallas Mavericks;102;Houston Rockets;109;;
12/5/2000;2001;New Jersey Nets;64;Indiana Pacers;88;;
12/5/2000;2001;Philadelphia 76ers;85;Los Angeles Lakers;96;;
12/5/2000;2001;Chicago Bulls;90;Minnesota Timberwolves;100;;
12/5/2000;2001;Boston Celtics;98;Orlando Magic;101;;
12/5/2000;2001;San Antonio Spurs;75;Sacramento Kings;81;;
12/5/2000;2001;Toronto Raptors;84;Utah Jazz;98;;
12/5/2000;2001;Detroit Pistons;83;Vancouver Grizzlies;91;;
12/6/2000;2001;Indiana Pacers;88;Charlotte Hornets;91;;
12/6/2000;2001;Cleveland Cavaliers;92;Chicago Bulls;88;;
12/6/2000;2001;New York Knicks;85;Dallas Mavericks;94;;
12/6/2000;2001;Los Angeles Lakers;122;Golden State Warriors;125;OT;
12/6/2000;2001;Denver Nuggets;78;Miami Heat;95;;
12/6/2000;2001;Milwaukee Bucks;109;New Jersey Nets;87;;
12/6/2000;2001;Toronto Raptors;88;Portland Trail Blazers;95;;
12/6/2000;2001;Detroit Pistons;112;Seattle SuperSonics;99;;
12/6/2000;2001;Los Angeles Clippers;93;Washington Wizards;88;;
12/7/2000;2001;Phoenix Suns;104;Milwaukee Bucks;96;;
12/7/2000;2001;Washington Wizards;88;Minnesota Timberwolves;105;;
12/7/2000;2001;Denver Nuggets;93;Orlando Magic;103;;
12/7/2000;2001;New York Knicks;86;San Antonio Spurs;83;;
12/7/2000;2001;Vancouver Grizzlies;87;Utah Jazz;98;;
12/8/2000;2001;Indiana Pacers;104;Boston Celtics;91;;
12/8/2000;2001;Los Angeles Clippers;87;Charlotte Hornets;92;;
12/8/2000;2001;Chicago Bulls;86;Dallas Mavericks;105;;
12/8/2000;2001;Toronto Raptors;108;Golden State Warriors;92;;
12/8/2000;2001;Seattle SuperSonics;103;Los Angeles Lakers;95;;
12/8/2000;2001;Atlanta Hawks;76;Miami Heat;80;;
12/8/2000;2001;Phoenix Suns;84;New Jersey Nets;86;;
12/8/2000;2001;Philadelphia 76ers;107;Portland Trail Blazers;94;;
12/8/2000;2001;Houston Rockets;98;Sacramento Kings;111;;
12/9/2000;2001;Atlanta Hawks;90;Cleveland Cavaliers;97;;
12/9/2000;2001;Charlotte Hornets;96;Indiana Pacers;99;OT;
12/9/2000;2001;Washington Wizards;91;Milwaukee Bucks;99;;
12/9/2000;2001;Los Angeles Clippers;73;Minnesota Timberwolves;85;;
12/9/2000;2001;Denver Nuggets;88;New York Knicks;96;;
12/9/2000;2001;Detroit Pistons;83;Portland Trail Blazers;114;;
12/9/2000;2001;Chicago Bulls;81;San Antonio Spurs;105;;
12/9/2000;2001;Houston Rockets;111;Seattle SuperSonics;104;;
12/9/2000;2001;Golden State Warriors;114;Utah Jazz;125;;
12/9/2000;2001;Philadelphia 76ers;83;Vancouver Grizzlies;79;;
12/10/2000;2001;Denver Nuggets;102;Boston Celtics;104;OT;
12/10/2000;2001;Detroit Pistons;88;Los Angeles Lakers;112;;
12/10/2000;2001;Dallas Mavericks;99;New Jersey Nets;73;;
12/10/2000;2001;Miami Heat;97;Sacramento Kings;101;;
12/10/2000;2001;Phoenix Suns;95;Toronto Raptors;87;;
12/11/2000;2001;Phoenix Suns;86;Chicago Bulls;80;;
12/11/2000;2001;Orlando Magic;80;Los Angeles Clippers;92;;
12/11/2000;2001;Minnesota Timberwolves;96;Philadelphia 76ers;91;OT;
12/11/2000;2001;San Antonio Spurs;91;Utah Jazz;83;;
12/11/2000;2001;Houston Rockets;82;Vancouver Grizzlies;75;;
12/12/2000;2001;Sacramento Kings;99;Atlanta Hawks;107;;
12/12/2000;2001;Dallas Mavericks;87;Cleveland Cavaliers;92;;
12/12/2000;2001;Miami Heat;96;Denver Nuggets;85;;
12/12/2000;2001;Portland Trail Blazers;101;Golden State Warriors;93;;
12/12/2000;2001;Milwaukee Bucks;109;Los Angeles Lakers;105;;
12/12/2000;2001;Minnesota Timberwolves;94;New Jersey Nets;116;;
12/12/2000;2001;Orlando Magic;92;Seattle SuperSonics;97;;
12/12/2000;2001;Indiana Pacers;90;Toronto Raptors;104;;
12/13/2000;2001;Chicago Bulls;104;Boston Celtics;86;;
12/13/2000;2001;Sacramento Kings;90;Charlotte Hornets;101;;
12/13/2000;2001;Atlanta Hawks;69;Detroit Pistons;92;;
12/13/2000;2001;Dallas Mavericks;92;Indiana Pacers;97;;
12/13/2000;2001;Miami Heat;94;Los Angeles Clippers;88;OT;
12/13/2000;2001;San Antonio Spurs;93;Phoenix Suns;103;;
12/13/2000;2001;Los Angeles Lakers;86;Portland Trail Blazers;96;;
12/13/2000;2001;Milwaukee Bucks;111;Utah Jazz;102;;
12/13/2000;2001;Seattle SuperSonics;94;Vancouver Grizzlies;93;;
12/13/2000;2001;Philadelphia 76ers;102;Washington Wizards;82;;
12/14/2000;2001;Houston Rockets;98;Golden State Warriors;95;;
12/14/2000;2001;Denver Nuggets;102;San Antonio Spurs;96;;
12/14/2000;2001;New York Knicks;68;Toronto Raptors;70;;
12/15/2000;2001;Sacramento Kings;104;Boston Celtics;81;;
12/15/2000;2001;Atlanta Hawks;85;Chicago Bulls;74;;
12/15/2000;2001;Minnesota Timberwolves;99;Detroit Pistons;90;;
12/15/2000;2001;Cleveland Cavaliers;103;Indiana Pacers;95;;
12/15/2000;2001;Vancouver Grizzlies;76;Los Angeles Lakers;98;;
12/15/2000;2001;Toronto Raptors;97;Milwaukee Bucks;104;;
12/15/2000;2001;Utah Jazz;89;New York Knicks;58;;
12/15/2000;2001;Dallas Mavericks;112;Philadelphia 76ers;94;;
12/15/2000;2001;Los Angeles Clippers;98;Phoenix Suns;88;;
12/15/2000;2001;Orlando Magic;96;Portland Trail Blazers;106;;
12/15/2000;2001;Miami Heat;81;Seattle SuperSonics;99;;
12/15/2000;2001;Charlotte Hornets;103;Washington Wizards;89;;
12/16/2000;2001;New Jersey Nets;89;Atlanta Hawks;83;;
12/16/2000;2001;Boston Celtics;87;Charlotte Hornets;99;;
12/16/2000;2001;Philadelphia 76ers;99;Chicago Bulls;91;;
12/16/2000;2001;Utah Jazz;92;Cleveland Cavaliers;99;;
12/16/2000;2001;Miami Heat;93;Golden State Warriors;85;;
12/16/2000;2001;Denver Nuggets;102;Houston Rockets;100;;
12/16/2000;2001;Indiana Pacers;110;Minnesota Timberwolves;113;OT;
12/16/2000;2001;Phoenix Suns;82;San Antonio Spurs;90;;
12/17/2000;2001;Dallas Mavericks;99;Detroit Pistons;90;;
12/17/2000;2001;Washington Wizards;103;Los Angeles Clippers;94;;
12/17/2000;2001;Sacramento Kings;95;New Jersey Nets;79;;
12/17/2000;2001;Milwaukee Bucks;97;New York Knicks;100;OT;
12/17/2000;2001;Los Angeles Lakers;104;Toronto Raptors;101;OT;
12/17/2000;2001;Orlando Magic;101;Vancouver Grizzlies;91;;
12/18/2000;2001;Dallas Mavericks;106;Boston Celtics;98;;
12/19/2000;2001;New York Knicks;77;Atlanta Hawks;87;;
12/19/2000;2001;Indiana Pacers;90;Chicago Bulls;85;;
12/19/2000;2001;Minnesota Timberwolves;99;Golden State Warriors;120;;
12/19/2000;2001;San Antonio Spurs;86;Houston Rockets;79;;
12/19/2000;2001;Los Angeles Lakers;81;Miami Heat;79;;
12/19/2000;2001;Detroit Pistons;89;Phoenix Suns;84;;
12/19/2000;2001;Washington Wizards;72;Sacramento Kings;106;;
12/19/2000;2001;Utah Jazz;95;Toronto Raptors;103;;
12/20/2000;2001;New Jersey Nets;86;Boston Celtics;99;;
12/20/2000;2001;Miami Heat;56;Charlotte Hornets;65;;
12/20/2000;2001;Portland Trail Blazers;101;Dallas Mavericks;106;;
12/20/2000;2001;Detroit Pistons;106;Denver Nuggets;108;;
12/20/2000;2001;Toronto Raptors;99;Indiana Pacers;98;OT;
12/20/2000;2001;Minnesota Timberwolves;96;Los Angeles Clippers;103;;
12/20/2000;2001;Utah Jazz;91;Philadelphia 76ers;89;;
12/20/2000;2001;Cleveland Cavaliers;77;San Antonio Spurs;94;;
12/20/2000;2001;Sacramento Kings;85;Seattle SuperSonics;89;;
12/20/2000;2001;Washington Wizards;104;Vancouver Grizzlies;118;;
12/21/2000;2001;Los Angeles Lakers;99;Houston Rockets;94;;
12/21/2000;2001;New Jersey Nets;78;Milwaukee Bucks;80;;
12/21/2000;2001;Boston Celtics;92;New York Knicks;86;;
12/21/2000;2001;Chicago Bulls;88;Orlando Magic;99;;
12/22/2000;2001;Los Angeles Lakers;108;Dallas Mavericks;103;;
12/22/2000;2001;Portland Trail Blazers;96;Denver Nuggets;116;;
12/22/2000;2001;Utah Jazz;109;Indiana Pacers;101;;
12/22/2000;2001;Cleveland Cavaliers;95;Miami Heat;103;;
12/22/2000;2001;Charlotte Hornets;83;Minnesota Timberwolves;74;;
12/22/2000;2001;New York Knicks;91;Philadelphia 76ers;71;;
12/22/2000;2001;Golden State Warriors;87;San Antonio Spurs;105;;
12/22/2000;2001;Washington Wizards;87;Seattle SuperSonics;107;;
12/22/2000;2001;Atlanta Hawks;78;Toronto Raptors;72;;
12/22/2000;2001;Sacramento Kings;95;Vancouver Grizzlies;93;;
12/23/2000;2001;Indiana Pacers;87;Atlanta Hawks;91;;
12/23/2000;2001;San Antonio Spurs;84;Charlotte Hornets;88;OT;
12/23/2000;2001;Chicago Bulls;93;Detroit Pistons;106;;
12/23/2000;2001;Golden State Warriors;95;Houston Rockets;87;;
12/23/2000;2001;Vancouver Grizzlies;90;Los Angeles Clippers;92;;
12/23/2000;2001;Boston Celtics;99;Milwaukee Bucks;104;;
12/23/2000;2001;Utah Jazz;98;Minnesota Timberwolves;92;;
12/23/2000;2001;Miami Heat;86;New Jersey Nets;80;;
12/23/2000;2001;Cleveland Cavaliers;92;Orlando Magic;111;;
12/23/2000;2001;Denver Nuggets;93;Phoenix Suns;102;;
12/23/2000;2001;Washington Wizards;70;Portland Trail Blazers;87;;
12/23/2000;2001;Seattle SuperSonics;92;Sacramento Kings;97;;
12/25/2000;2001;Orlando Magic;93;Indiana Pacers;103;;
